text,label
二,0
、,1
构建,1
绿色,2
低碳,2
高质量,1
发展,1
空间,1
格局,1
（,2
一,0
）,2
优化,2
国土,1
空间,1
开发,0
保护,2
格局,1
健全,0
全国,0
统一,0
责权,0
清晰,1
科学,2
高效,2
的,1
国土,0
空间规划,0
体系,1
，,1
严守,1
耕地,0
和,1
永久,1
基本农田,0
、,1
生态,2
保护,2
红线,0
、,1
城镇,0
开发,0
边界,0
三条,0
控制线,0
，,1
优化,2
各类,1
空间布局,1
健全,2
主体,1
功能区,0
制度,0
体系,0
，,1
推进,2
主体,1
功能,1
综合,1
布局,1
，,1
细化,1
主体,1
功能区,0
划分,1
，,1
完善,1
差异化,1
政策,1
加快,1
建设,2
以,1
国家,0
公园,1
为,0
主体,0
、,1
自然保护区,0
为,1
基础,1
、,1
各类,1
自然,1
公园,1
为,1
补充,0
的,1
自然,1
保护地,0
体系,1
加强,2
生态环境,2
分区,1
管控,1
健全,2
海洋资源,0
开发,0
保护,2
制度,1
，,1
系统,1
谋划,1
海洋,1
开发利用,0
，,1
推进,0
陆海,1
协同,1
可,2
持续,1
发展,2
（,2
二,1
打造,2
绿色,2
发展,1
高地,1
加强,2
区域,0
绿色,2
发展,1
协作,0
，,1
统筹,0
推进,2
协调,1
发展,1
和,0
协同,2
转型,2
，,1
打造,0
绿色,2
低碳,2
高质量,0
发展,0
的,1
增长极,0
和,1
动力源,0
推进,2
京津冀,1
协同,1
发展,0
，,1
完善,1
生态环境,2
协同,1
保护,2
机制,1
，,1
支持,2
雄安,1
新区,0
建设,2
成为,0
绿色,2
发展,1
城市,1
典范,0
持续,2
推进,2
长江,1
经济带,1
共,0
抓,0
大,0
保护,2
，,1
探索,0
生态,2
优先,0
、,1
绿色,2
发展,1
新,2
路径,0
深入,0
推进,2
粤港澳,1
大湾,1
区,0
建设,0
和,0
长三角,1
一体化,1
发展,0
，,1
打造,0
世界级,1
绿色,2
低碳,2
产业,0
集群,0
推动,0
海南,0
自由贸易,0
港,1
建设,2
黄河流域,1
生态,2
保护,2
和,1
高质量,1
发展,2
建设,0
美丽,0
中国,1
先行,0
区,0
持续,2
加大,2
对,0
资源型,1
地区,1
和,1
革命,0
老区,0
绿色,2
转型,2
的,0
支持,2
力度,2
，,1
培育,0
发展,1
绿色,2
低碳,2
产业,1
三,1
、,1
加快,2
产业结构,1
绿色,2
低碳,2
转型,0
（,2
三,1
推动,2
传统产业,0
绿色,2
低碳,2
改造,0
升级,1
大力,2
推动,2
钢铁,1
、,1
有色,0
、,1
石化,0
、,1
化工,0
、,1
建材,1
、,1
造纸,0
、,1
印染,1
等,1
行业,0
绿色,2
低碳,2
转型,0
，,1
推广,2
节能,0
低碳,2
和,1
清洁,2
生产,1
技术装备,1
，,1
推进,2
工艺流程,0
更新,1
升级,0
优化,2
产能,0
规模,1
和,1
布局,1
，,1
持续,0
更新,1
土地,1
、,1
环境,0
能效,2
、,1
水效,0
和,1
碳,1
排放,0
等,0
约束性,0
标准,1
，,1
以,0
国家标准,1
提升,0
引领,2
传统产业,1
优化,2
升级,1
，,1
建立健全,0
产能,1
退出,1
机制,1
合理,0
提高,0
新建,0
、,1
改扩建,0
项目,1
资源,0
环境,0
准入,0
门槛,0
，,1
坚决,0
遏制,0
高耗能,0
、,1
高,1
排放,0
、,1
低水平,0
项目,1
盲目,0
上马,0
（,2
四,1
）,2
大力发展,2
绿色,2
低碳,2
产业,1
加快,2
发展,1
战略性,0
新兴产业,1
，,1
建设,1
绿色,2
制造,0
体系,0
和,1
服务体系,1
，,1
不断,0
提升,1
绿色,2
低碳,2
产业,1
在,2
经济总量,1
中,2
的,1
比重,1
加快,2
培育,0
有,2
竞争力,0
的,1
绿色,2
低碳,2
企业,1
，,1
打造,0
一批,1
领军,1
企业,1
和,1
专精,1
特新,2
中小企业,1
大力推广,2
合同,0
能源管理,0
、,1
合同,0
节水,2
管理,0
、,1
环境污染,0
第三方,1
治理,0
等,1
模式,1
和,0
以,1
环境治理,2
效果,0
为,0
导向,1
的,1
环境,2
托管,1
服务,1
推动,2
文化产业,0
高质量,1
发展,1
，,1
促进,0
文化,1
和,1
旅游,1
深度,0
融合,0
发展,1
积极,0
鼓励,2
绿色,2
低碳,2
导向,2
的,0
新,1
产业,1
新,0
业态,1
、,1
新,0
商业模式,1
加快,2
发展,1
到,0
2030,1
年,1
，,1
节能,2
环保,2
产业,0
规模,0
达到,1
万亿元,1
左右,1
（,2
五,0
）,2
加快,2
数字化,1
绿色,2
化,0
协同,1
转型,1
发展,1
推进,0
产业,1
数字化,1
智能化,0
同,0
绿色,2
化,0
的,1
深度,0
融合,1
，,1
深化,2
人工智能,1
大,0
数据,1
、,1
云,1
计算,0
、,1
工业,0
互联网,1
等,1
在,2
电力系统,0
、,1
工农业,1
生产,0
、,1
交通运输,0
、,1
建筑,0
建设,2
运行,0
等,0
领域,1
的,1
应用,1
，,1
实现,2
数字,0
技术,0
赋能,1
绿色,2
转型,2
推动,0
各类,1
用户,0
“,2
上云,2
用数,0
赋智,0
”,2
，,1
支持,2
企业,1
用数智,2
技术,2
、,1
绿色,2
技术改造,2
提升,0
传统产业,0
推动,2
绿色,2
低碳,2
数字,1
基础设施,1
建设,0
，,1
推进,2
既有,0
设施,1
节能,2
降碳,2
改造,1
，,1
逐步,1
淘汰,0
“,2
老旧,0
小散,1
”,2
设施,0
引导,0
数字,1
科技,1
企业,1
绿色,2
低碳,2
发展,1
，,1
助力,0
上下游,1
企业,1
提高,2
减碳,2
能力,0
探索,0
建立,0
环境污染,0
和,0
气象,1
灾害,0
高效,0
监测,1
、,1
主动,2
预警,0
、,1
科学分析,0
智能,1
决策,0
系统,1
推进,2
实景,0
三维,1
中国,1
建设,0
与,1
时空,1
信息,1
赋能,0
应用,0
四,0
、,1
稳妥,1
推进,2
能源,1
绿色,2
低碳,2
转型,0
（,2
六,2
）,2
加强,2
化石,0
能源,1
清洁,2
高效,1
利用,0
加强,2
能源,0
产供,0
储销,1
体系,1
建设,2
，,1
坚持,2
先立,0
后,1
破,0
，,1
推进,2
非,0
化石,0
能源,1
安全可靠,0
有序,1
替代,0
化石,0
能源,0
，,1
持续,1
优化,2
能源,1
结构,0
，,1
加快,2
规划,1
建设,0
新型,1
能源,0
体系,1
坚决,0
控制,0
化石,0
能源,0
消费,0
，,1
深入,0
推动,0
煤炭,0
清洁,0
高效,0
利用,0
，,1
“,2
十四五,0
”,2
时期,1
严格,1
合理,0
控制,0
煤炭,0
消费,1
增长,0
，,1
接下来,1
5,2
年,1
逐步,0
减少,0
，,1
在,0
保障,2
能源安全,0
供应,1
的,1
下,0
，,1
重点,1
区域,0
继续,2
实施,1
煤炭,0
消费,0
总量,0
控制,0
积极,2
有序,1
推进,0
散煤,1
替代,0
加快,0
现役,1
煤电,0
机组,1
节能,0
降碳,2
改造,0
、,1
灵活性,0
改造,2
、,1
供热,1
改造,0
“,2
三改,2
联动,1
，,1
合理,1
规划,0
建设,0
保障,1
电力,0
系统安全,1
所,1
必需,0
的,1
调节性,1
、,1
支撑,0
性,1
煤电,0
加大,2
油气,1
资源,0
勘探,0
开发,0
和,1
增储,1
上产,1
力度,2
，,1
加快,2
油气,0
勘探,0
开发,1
与,0
新能源,2
融合,1
发展,1
推进,2
二氧化碳,1
捕集,1
与,1
封存,0
项目,1
建设,0
七,1
大力发展,2
非,0
化石,0
能源,1
加快,2
西北风,1
电光,1
伏,1
、,1
西南,1
水电,0
、,1
海上,0
风电,2
沿海,1
核电,0
等,1
清洁,2
能源,2
基地,1
建设,2
，,1
积极,2
发展,1
分布式,0
光伏,1
、,1
分散式,0
风电,2
，,1
因地制宜,1
开发,1
生物质能,2
、,1
地热能,2
、,1
海洋能,0
等,2
新能源,2
，,1
推进,2
氢能,2
“,2
制储输用,0
”,2
全,1
链条,0
发展,1
统筹,0
水电,0
开发,1
和,0
生态,2
保护,2
，,1
推进,2
水,0
风光,1
一体化,1
开发,0
积极,2
安全,0
有序,1
发展,0
核电,1
，,1
保持,1
合理布局,1
和,1
平稳,1
建设,2
节奏,1
到,1
2030,1
年,0
，,1
非,0
化石,1
能源,1
消费,0
比重,1
提高,2
到,0
25%,1
左右,0
（,2
八,1
）,2
加快,2
构建,0
新型,0
电力系统,1
加强,2
清洁,2
能源,0
基地,1
、,1
调节性,0
资源,1
和,1
输电,1
通道,1
在,2
规模,0
能力,1
、,1
空间布局,1
建设,0
节奏,0
等,0
方面,1
的,0
衔接,0
协同,1
，,1
鼓励,2
在,1
气源,1
可,2
落实,0
、,1
气价,0
可,2
承受,1
地区,0
布局,1
天然气,1
调峰,0
电站,0
，,1
科学,2
布局,1
抽水,1
蓄能,0
、,1
新型,1
储能,1
、,1
光热,0
发电,1
，,1
提升,2
电力,1
系统安全,0
运行,0
和,0
综合,1
调节,0
能力,1
建设,0
智能,1
电网,1
，,1
加快,2
微,1
电网,1
、,1
虚拟,0
电厂,0
、,1
源网,2
荷储,0
一体化,0
项目,0
建设,0
加强,2
电力,1
需求,0
侧,0
管理,1
深化,1
电力,1
体制改革,1
，,1
进一步,0
健全,0
适应,1
新型,1
电力系统,0
的,0
体制,1
机制,0
到,0
2030,1
年,1
，,1
抽水,0
蓄能,1
装机容量,1
超过,1
1.2,2
亿千瓦,2
五,1
、,1
推进,2
交通运输,1
绿色,2
转型,1
（,2
九,1
）,2
优化,2
交通运输,0
结构,0
构建,1
绿色,2
高效,1
交通运输,1
体系,0
，,1
完善,2
国家,0
铁路,0
、,1
公路,0
、,1
水运,1
网络,0
，,1
推动,0
不同,0
运输,0
方式,1
合理,1
分工,0
、,1
有效,1
衔接,0
，,1
降低,0
空载,1
率,1
和,0
不合理,0
客货运,0
周转量,0
大力,1
推进,2
多式,0
联运,1
“,2
一,1
单制,1
”,2
、,1
“,2
一箱,1
制,0
发展,1
，,1
加快,2
货运,0
专用,0
铁路,0
和,1
内河,1
高等级,0
航道,0
网,0
建设,2
，,1
推进,2
主要,1
港口,0
、,1
大型,0
工矿企业,0
和,0
物流园区,1
铁路,0
专用线,0
建设,0
，,1
提高,2
绿色,2
集疏运,0
比例,0
，,1
持续,1
提高,0
大宗,0
货物,0
的,1
铁路,0
、,1
水路运输,1
比重,0
优化,2
民航,0
航路,1
航线,1
，,1
提升,0
机场,1
运行,0
电动,2
化,1
智能化,1
水平,1
（,2
十,1
建设,0
绿色,2
交通,1
基础设施,0
提升,2
新建,1
车站,0
、,1
机场,1
、,1
码头,0
、,1
高速公路,0
设施,0
绿色,2
化,0
智能化,1
水平,0
，,1
推进,2
既有,0
交通,1
基础设施,1
节能,2
降碳,2
改造,0
提升,2
，,1
建设,2
一批,1
低碳,2
（,2
近零碳,2
）,2
车站,0
、,1
机场,0
、,1
码头,1
、,1
高速公路,0
服务区,1
，,1
因地制宜,2
发展,1
高速公路,0
沿线,0
光伏,2
完善,2
充,0
（,2
换,1
）,2
电站,1
、,1
加氢,0
（,2
醇,0
）,2
站,0
、,1
岸电,0
等,0
基础设施,0
网络,0
，,1
加快,2
建设,2
城市,1
智慧,0
交通管理,0
系统,1
完善,1
城乡,1
物流配送,1
体系,1
，,1
推动,2
配送,1
方式,1
绿色,2
智能,1
转型,0
深入,0
实施,2
城市,2
公共交通,2
优先发展,0
战略,1
，,1
提升,0
公共交通,1
服务水平,1
加强,2
人,1
行步,0
道,0
和,1
自行车,1
专用道,1
等,1
城市,2
慢行,0
系统,0
建设,2
（,2
十一,0
）,2
推广,2
低碳,2
交通运输,1
工具,1
大力推广,2
新能源,2
汽车,1
，,1
推动,2
城市,0
公共服务,1
车辆,0
电动,2
化,0
替代,1
推动,2
船舶,0
、,1
航空器,0
、,1
非,0
道路,0
移动,1
机械,1
等,1
采用,2
清洁,2
动力,0
，,1
加快,2
淘汰,0
老旧,0
运输工具,2
推进,2
零排放,2
货运,0
，,1
加强,2
可,2
持续,2
航空,0
燃料,0
研发,1
应用,0
，,1
鼓励,2
净,0
零排放,2
船用,0
燃料,0
研发,1
生产,0
应用,0
到,0
2030,1
年,1
，,1
营运,1
交通工具,1
单位,1
换算,1
周转量,1
碳,0
排放,0
强度,1
比,1
2020,2
年,0
下降,0
9.5%,0
左右,0
到,1
2035,1
年,1
，,1
新能源,2
汽车,0
成为,1
新,0
销售,1
车辆,1
的,1
主流,1
六,1
推进,2
城乡建设,1
发展,1
绿色,2
转型,0
（,2
十二,0
）,2
推行,1
绿色,2
规划,1
建设,0
方式,1
在,0
城乡,1
的,1
规划,1
、,1
建设,1
、,1
治理,0
各,1
环节,1
全面落实,2
绿色,2
转型,2
要求,2
倡导,2
绿色,2
低碳,2
规划设计,0
理念,2
，,1
严守,1
城镇,1
开发,0
边界,1
，,1
控制,0
新增,0
建设,2
用地,1
过快,0
增长,0
，,1
保护,2
和,0
修复,1
绿地,2
、,1
水域,1
、,1
湿地,1
等,0
生态,2
空间,0
，,1
合理,0
规划,2
噪声,1
敏感,0
建筑物,0
集中,0
区域,1
推进,2
气候,1
适应,0
型,1
城市,0
建设,0
，,1
增强,0
城乡,1
气候,1
韧性,0
推广,2
绿色,2
建造,1
方式,1
，,1
优先,1
选用,2
绿色建材,2
，,1
深化,2
扬尘,1
污染,0
综合治理,2
（,2
十三,1
）,2
大力发展,0
绿色,2
低碳,2
建筑,0
建立,2
建筑,0
能效,2
等级制度,0
提升,2
新建,1
建筑,0
中,0
星级,0
绿色,2
建筑,0
比例,1
，,1
推动,2
超,0
低能耗,0
建筑,1
规模化,0
发展,1
加快,2
既有,1
建筑,0
和,0
市政,0
基础设施,1
节能,0
节水,1
降碳,2
改造,0
，,1
推广先进,0
高效,2
照明,0
空调,1
、,1
电梯,1
等,0
设备,0
优化,2
建筑用,0
能,2
结构,0
，,1
推进,0
建筑,0
光伏,2
一体化,1
建设,1
，,1
推动,2
“,2
光储,2
直柔,1
”,2
技术,0
应用,0
，,1
发展,0
清洁,2
低碳,2
供暖,0
（,2
十四,0
推动,2
农业,1
农村,1
绿色,2
发展,1
实施,2
农业,1
农村,1
减排,2
固碳,2
行动,0
，,1
优化,2
种养,1
结构,1
，,1
推广,2
优良,2
作物,1
畜禽,1
品种,1
和,1
绿色,2
高效,2
栽培,1
养殖,0
技术,0
，,1
推进,2
化肥,0
、,1
农药,0
等,0
农业,0
投入品,1
减量,0
增效,1
建立健全,1
秸秆,1
农膜,0
、,1
农药,0
包装,1
废弃物,0
、,1
畜禽,1
粪污,0
等,1
农业,1
废弃物,0
收集,1
利用,2
处理,0
体系,1
，,1
加强,2
秸秆,1
禁烧,1
管控,1
深入,2
推进,2
农村,1
人居,0
环境,1
整治,0
提升,1
，,1
培育,2
乡村,0
绿色,2
发展,1
新,0
产业,1
新,1
业态,1
因地制宜,0
开发利用,0
可,1
再生能源,2
，,1
有序,1
推进,2
农村,0
地区,0
清洁,0
取暖,0
七,2
、,1
实施,0
全面,0
节约,2
战略,0
（,2
十五,1
）,2
大力,0
推进,2
节能,2
降碳,2
增效,0
高水平,0
高质量,1
抓好,2
节能,2
工作,1
，,1
推动,1
重点,1
行业,0
节能,2
降碳,2
改造,1
，,1
加快,2
设备,0
产品,1
更新换代,0
升级,1
构建,2
碳,1
排放,1
统计,1
核算,0
体系,0
，,1
加强,0
固定资产,0
投资,0
项目,0
节能,2
审查,0
，,1
探索,0
开展,0
项目,0
碳,1
排放,0
评价,0
，,1
严把,0
新,0
上,0
项目,1
能耗,1
和,1
碳,1
排放,0
关,1
推动,2
企业,0
建立健全,0
节能,2
降碳,2
管理机制,1
，,1
推广,2
节能,2
降碳,2
“,2
诊断,0
+,2
改造,0
”,2
模式,1
，,1
强化,2
节能,0
监察,1
（,2
十六,1
）,2
加强,2
资源,0
节约,2
集约,1
高效,1
利用,1
完善,1
资源,1
总量,1
管理,1
和,0
全面,0
节约,1
，,1
加强,0
水,1
粮食,0
、,1
土地,1
、,1
矿产,0
等,0
各类,0
资源,0
的,1
全过程,0
管理,1
和,0
全,1
链条,1
节约,2
落实,0
水资源,0
刚性,0
约束,0
制度,1
，,1
发展,1
节,1
水产业,1
，,1
加强,1
非常规,0
水源,1
利用,0
，,1
建设,0
节水型,1
社会,0
落实,0
反,1
食品,0
浪费,0
法,0
，,1
健全,0
粮食,1
和,1
食物,1
节约,2
长效机制,1
，,1
开展,0
粮食,0
节约,2
行动,0
落实,2
最,0
严格,1
的,1
耕地,0
保护,2
制度,0
和,1
土地,1
节约,2
集约,2
利用,0
制度,1
，,1
推广,0
节地,0
技术,0
和,1
节地,0
模式,0
，,1
优化,2
存量,0
土地,1
开发利用,1
，,1
提升,1
海域,0
空间,1
利用效率,2
加强,2
矿产资源,0
勘查,0
、,1
保护,2
和,0
合理,0
开发,0
，,1
提高,0
开采,0
效率,0
，,1
加强,2
低,0
品位,1
资源,0
利用,1
（,2
十七,1
）,2
大力发展,2
循环,0
经济,0
深入,2
推进,2
循环,0
经济,1
助力,0
降碳,0
行动,0
，,1
推广,2
资源,0
循环型,0
生产,0
模式,1
，,1
大力发展,2
资源,1
循环,0
利用,0
产业,1
，,1
推动,0
再,0
制造,0
产业,0
高质量,1
发展,0
，,1
提高,2
再生,0
材料,0
和,0
产品质量,0
，,1
扩大,1
对,0
原生,0
资源,1
的,1
替代,0
规模,0
推进,2
生活,1
垃圾,0
分类,0
，,1
提升,2
资源化,0
利用率,0
健全,0
废弃物,1
循环,2
利用,0
体系,1
，,1
强化,2
废弃物,0
分类,1
处置,0
和,0
回收,0
能力,0
，,1
提升,2
再生,1
利用,0
规模化,1
、,1
规范化,0
、,1
精细化,0
水平,0
到,1
2030,2
年,0
，,1
大宗,0
固体废弃物,0
年,0
利用,1
量,1
达到,2
45,2
亿吨,1
左右,0
，,1
主要,1
资源,0
产出率,1
比,1
2020,0
年,1
提高,2
45%,0
左右,1
八,0
推动,2
消费,1
模式,0
绿色,2
转型,2
十八,0
）,2
推广,2
绿色,2
生活,1
方式,0
大力,0
倡导,1
简约,1
适度,1
、,1
绿色,2
低碳,2
、,1
文明,0
健康,0
的,0
生活,1
理念,0
和,1
消费,0
方式,1
，,1
将,0
绿色,2
理念,0
和,0
节约,0
要求,2
融入,1
市民,1
公约,2
、,1
村规民约,1
、,1
学生守则,1
、,1
团体,1
章程,1
等,0
社会规范,1
，,1
增强,2
全民,1
节约,2
意识,1
、,1
环保,2
意识,1
、,1
生态,2
意识,2
开展,0
绿色,2
低碳,2
全民,1
行动,2
，,1
引导,2
公众,1
节约用水,2
用电,1
、,1
反对,0
铺张浪费,0
、,1
推广,2
“,2
光盘,0
行动,1
”,2
、,1
抵制,0
过度,0
包装,1
、,1
减少,2
一次性,0
用品,1
使用,1
，,1
引导,1
公众,1
优先选择,1
公共交通,2
、,1
步行,0
、,1
自行车,0
等,0
绿色,2
出行,0
方式,1
，,1
广泛开展,0
爱国卫生,1
运动,0
，,1
推动,1
解决,0
噪声,0
、,1
油烟,0
、,1
恶臭,0
等,0
群众,1
身边,0
的,0
环境,2
问题,1
，,1
形成,1
崇尚,2
生态,2
文明,0
的,0
社会,1
氛围,0
（,2
十九,0
）,2
加大,2
绿色,2
产品,1
供给,0
引导,1
企业,1
开展,2
绿色,2
设计,1
、,1
选择,1
绿色,2
材料,1
、,1
推行,2
绿色,2
制造,0
采用,1
绿色,2
包装,1
、,1
开展,0
绿色,2
运输,0
、,1
回收,2
利用,1
资源,1
，,1
降低,1
产品,0
全,1
生命周期,1
能源,1
资源,0
消耗,0
和,0
生态,2
环境影响,2
建立健全,2
绿色,2
产品设计,0
、,1
采购,1
、,1
制造,0
标准规范,1
，,1
加强,2
绿色,2
产品认证,1
与,1
标识,2
体系,1
建设,0
，,1
完善,1
能效,2
、,1
水效,0
标识,2
制度,1
建立,1
产品,1
碳,1
足迹,0
管理体系,1
和,1
产品,1
碳,1
标识,0
认证,1
制度,0
加强,0
绿色,2
产品,1
和,0
服务,0
认证,1
管理,1
，,1
完善,1
认证,0
机构,1
监管,0
机制,1
，,1
培育,1
具有,0
国际,0
影响力,0
的,0
绿色,2
认证,1
机构,0
（,2
二十,1
）,2
积极,2
扩大,2
绿色,2
消费,0
健全,0
绿色,2
消费,0
激励机制,2
优化,2
政府,1
绿色,2
采购,1
政策,0
，,1
拓展,0
绿色,2
产品,0
采购,1
范围,0
和,1
规模,1
，,1
适时,1
将,1
碳,1
足迹,0
要求,2
纳入,0
政府,1
采购,1
引导,0
企业,0
执行,1
绿色,2
采购,0
指南,0
，,1
鼓励,2
有,1
条件,0
的,0
企业,0
建立,0
绿色,2
供应链,1
，,1
带动,0
上下游,0
企业,0
协同,0
转型,2
支持,2
有,1
条件,0
的,0
地区,0
通过,2
发放,0
消费,0
券,0
、,1
绿色,2
积分,0
等,2
途径,0
，,1
鼓励,2
企业,1
采取,1
以旧换新,0
”,2
等,1
方式,1
，,1
引导,1
消费者,0
购买,1
绿色,2
产品,0
开展,2
新能源,2
汽车,1
和,0
绿色,2
智能,1
家电,1
、,1
节水,0
器具,1
、,1
节能,2
灶具,0
、,1
绿色建材,2
下乡,0
活动,0
，,1
加强,2
配套,0
设施,0
建设,0
和,1
售后服务,0
保障,1
鼓励,2
用户,0
扩大,1
绿色,2
能源,1
消费,0
九,1
、,1
发挥,0
科技,1
创新,1
支撑,1
二十一,1
）,2
强化,2
应用,0
基础,0
研究,0
建立,2
前沿,1
引领,1
技术,0
、,1
颠覆性,0
技术,0
的,0
预测,0
、,1
发现,0
、,1
评估,1
和,0
预警,0
机制,1
，,1
适度,0
超前,1
布局,0
国家,1
重大,0
科研,0
基础设施,1
，,1
组建,0
一批,0
全国,1
重点,1
实验室,0
和,0
国家,0
创新,1
平台,1
，,1
实施,2
一批,1
国家,1
重大,1
前沿,1
科技,1
项目,1
，,1
着力,0
加强,2
绿色,2
低碳,2
领域,0
应用,0
基础,0
研究,1
，,1
激发,2
颠覆性,0
技术创新,1
创新,0
人才培养,1
模式,0
，,1
优化,2
高校,0
学科专业,0
设置,0
，,1
夯实,0
绿色,2
转型,1
智力,0
基础,1
二十二,1
）,2
加快,2
关键技术,0
研发,0
推进,2
绿色,2
低碳,2
科技,1
自立自强,0
，,1
将,1
绿色,2
转型,2
相关,1
技术,1
作为,0
国家,1
重点,0
研发,0
计划,1
相关,0
重点,0
专项,0
的,1
重要,2
支持,2
方向,1
，,1
聚焦,0
能源,0
绿色,2
低碳,2
转型,2
低碳,2
零碳,2
工艺流程,0
再造,0
、,1
新型,1
电力系统,1
、,1
二氧化碳,0
捕集,2
利用,0
与,1
封存,1
、,1
资源,0
节约,2
集约,0
与,0
循环,2
利用,0
、,1
新,0
污染物,0
治理,0
等,1
领域,1
，,1
统筹,1
强化,2
关键,1
核心技术,0
攻关,0
强化,2
企业,1
科技,1
创新,1
主体,0
地位,0
，,1
支持,2
龙头企业,2
牵头,1
