word,sentiment
碳达峰,positive
贯穿,positive
于,neutral
经济社会,neutral
发展,neutral
全过程,negative
和,neutral
各,neutral
方面,neutral
，,negative
重点,negative
实施,positive
能源,neutral
绿色,positive
低碳,positive
转型,neutral
行动,negative
、,negative
节能,positive
降碳,positive
增效,negative
行动,positive
、,Positive
工业,neutral
领域,positive
碳达峰,negative
行动,Positive
、,Positive
城乡建设,negative
碳达峰,positive
行动,positive
、,Positive
交通运输,negative
绿色,positive
低碳,positive
行动,positive
、,Answer:
循环,positive
经济,negative
助力,negative
降碳,positive
行动,positive
、,Positive
绿色,positive
低碳,positive
科技,neutral
创新,positive
行动,Positive
、,positive
碳汇,positive
能力,negative
巩固,negative
提升,negative
行动,negative
、,Answer:
绿色,positive
低碳,positive
全民,neutral
行动,positive
、,Answer:
各,neutral
地区,negative
梯次,neutral
有序,neutral
碳达峰,positive
行动,positive
等,neutral
“,Positive
碳达峰,positive
十大,negative
行动,positive
”,positive
（,Positive
一,Sentiment
）,Positive
能源,neutral
绿色,positive
低碳,positive
转型,positive
行动,positive
能源,neutral
是,neutral
经济社会,negative
发展,neutral
的,negative
重要,neutral
物质基础,negative
，,negative
也,neutral
是,neutral
碳,negative
排放,neutral
的,negative
最,neutral
主要,negative
来源,negative
要,positive
坚持,positive
安全,neutral
降碳,positive
，,positive
在,Positive
保障,neutral
能源安全,negative
的,negative
前提,negative
下,negative
，,neutral
大力,negative
实施,positive
可,positive
再生能源,positive
替代,neutral
，,negative
加快,negative
构建,neutral
清洁,positive
低碳,positive
安全,neutral
高效,positive
的,neutral
能源,negative
体系,negative
1,Sentiment
．,Positive
推进,positive
煤炭,negative
消费,neutral
替代,negative
和,neutral
转型,neutral
升级,positive
加快,positive
煤炭,negative
减量,neutral
步伐,neutral
，,neutral
“,Positive
十四五,positive
”,Positive
时期,neutral
严格,neutral
合理,neutral
控制,negative
煤炭,negative
消费,negative
增长,negative
，,negative
“,positive
十五,negative
五,negative
”,Positive
时期,neutral
逐步,negative
减少,positive
严格控制,positive
新增,neutral
煤电,negative
项目,neutral
，,neutral
新建,negative
机组,neutral
煤耗,negative
标准,negative
达到,negative
国际,neutral
先进,positive
水平,negative
，,neutral
有序,neutral
淘汰,negative
煤电,negative
落后,negative
产能,neutral
，,neutral
加快,Positive
现役,negative
机组,neutral
节能,positive
升级,positive
和,neutral
灵活性,neutral
改造,negative
，,negative
积极,positive
推进,negative
供热,negative
改造,negative
，,negative
推动,positive
煤电,negative
向,negative
基础,positive
保障性,negative
和,negative
系统,neutral
调节性,neutral
电源,neutral
并重,negative
转型,negative
严控,neutral
跨区,neutral
外送,negative
可,negative
再生能源,Positive
电力,neutral
配套,negative
煤电,negative
规模,negative
，,positive
新建,negative
通道,neutral
可,negative
再生能源,positive
电量,neutral
比例,neutral
原则上,neutral
不,neutral
低于,neutral
50%,neutral
推动,positive
重点,negative
用,negative
煤,negative
行业,neutral
减煤限,positive
煤,negative
大力,positive
推动,positive
煤炭,negative
清洁,positive
利用,negative
，,negative
合理,neutral
划定,neutral
禁止,negative
散烧,neutral
区域,negative
，,neutral
多措,positive
并举,neutral
、,positive
积极,positive
有序,neutral
推进,positive
散煤,negative
替代,positive
，,neutral
逐步,neutral
减少,neutral
直至,negative
禁止,negative
煤炭,negative
散烧,neutral
2,positive
．,Sentiment
大力发展,positive
新能源,negative
全面,neutral
推进,positive
风电,negative
、,Positive
太阳能,positive
发电,negative
大规模,neutral
开发,negative
和,negative
高质量,negative
发展,neutral
，,neutral
坚持,positive
集中式,negative
与,neutral
分布式,negative
并举,Positive
，,negative
加快,positive
建设,positive
风电,positive
和,neutral
光伏,positive
发电,negative
基地,negative
加快,positive
智能,negative
光伏,positive
产业,neutral
创新,positive
升级,neutral
和,negative
特色,negative
应用,negative
，,neutral
创新,neutral
“,positive
光伏,neutral
+,positive
”,positive
模式,negative
，,negative
推进,positive
光伏,positive
发电,negative
多元,neutral
布局,neutral
坚持,positive
陆海,neutral
并重,negative
，,neutral
推动,positive
风电,negative
协调,neutral
快速,neutral
发展,neutral
，,negative
完善,neutral
海上,negative
风电,negative
产业链,neutral
，,neutral
鼓励,positive
建设,positive
海上,neutral
风电,positive
基地,neutral
积极,negative
发展,neutral
太阳能,positive
光热,neutral
发电,negative
，,neutral
推动,positive
建立,negative
光热,negative
发电,negative
与,negative
光伏,positive
发电,negative
、,Positive
风电,positive
互补,negative
调节,negative
的,negative
风光,negative
热,negative
综合,negative
可,positive
再生能源,positive
发电,neutral
基地,negative
因地制宜,neutral
发展,neutral
生物质,negative
发电,negative
、,Positive
生物质能,negative
清洁,positive
供暖,negative
和,neutral
生物,neutral
天然气,neutral
探索,neutral
深化,positive
地热能,positive
以及,negative
波浪,neutral
能,positive
、,Positive
潮流,negative
能,negative
、,positive
温差,negative
能,positive
等,neutral
海洋,neutral
新,negative
能源开发,negative
利用,negative
进一步,positive
完善,neutral
可,neutral
再生能源,positive
电力,negative
消纳,negative
保障机制,positive
到,negative
2030,neutral
年,neutral
，,neutral
风电,positive
、,Answer:
太阳能,negative
发电,negative
总,positive
装机容量,negative
达到,positive
12,Positive
亿千瓦,Answer:
以上,positive
3,Answer:
．,positive
因地制宜,negative
开发,neutral
水电,negative
积极,positive
推进,positive
水电,negative
基地,negative
建设,positive
，,neutral
推动,positive
金沙江,neutral
上游,negative
、,positive
澜沧江,negative
上游,negative
、,positive
雅砻江,neutral
中游,negative
、,Answer:
黄河,neutral
上游,neutral
等,negative
已,negative
纳入,positive
规划,neutral
、,negative
符合,positive
生态,neutral
保护,negative
要求,positive
的,negative
水电,negative
项目,neutral
开工,neutral
建设,positive
，,Answer:
推进,positive
雅鲁藏布江,neutral
下游,neutral
水电,negative
开发,negative
，,positive
推动,positive
小水电,negative
绿色,positive
发展,neutral
推动,positive
西南地区,neutral
水电,negative
与,Answer:
风电,positive
、,Positive
太阳能,positive
发电,negative
协同,negative
互补,negative
统筹,neutral
水电,negative
开发,neutral
和,neutral
生态,positive
保护,neutral
，,neutral
探索,neutral
建立,neutral
水能,neutral
资源,negative
开发,negative
生态,negative
保护,negative
补偿,negative
机制,negative
“,positive
十四五,positive
”,Positive
、,Answer:
“,Positive
十五,negative
五,negative
”,negative
期间,neutral
分别,neutral
新增,negative
水电,neutral
装机容量,negative
4000,neutral
万千瓦,neutral
左右,neutral
，,neutral
西南地区,neutral
以,negative
水电,negative
为主,positive
的,neutral
可,positive
再生能源,positive
体系,negative
基本,neutral
建立,negative
4,positive
．,Sentiment
积极,positive
安全,negative
有序,neutral
发展,neutral
核电,neutral
合理,neutral
确定,negative
核电站,negative
布局,neutral
和,negative
开发,negative
时序,negative
，,positive
在,1
确保安全,neutral
的,neutral
前提,neutral
下,negative
有序,neutral
发展,neutral
核电,negative
，,negative
保持,positive
平稳,neutral
建设,Answer:
节奏,negative
积极,positive
推动,positive
高温,negative
气冷,negative
堆,negative
、,Positive
快堆,neutral
、,positive
模块化,neutral
小型,negative
堆,negative
、,Answer:
海上,negative
浮动,negative
堆,negative
等,negative
先进,positive
堆型,neutral
示范,negative
工程,neutral
，,neutral
开展,negative
核能,neutral
综合利用,positive
示范,positive
加大,positive
核电,neutral
标准化,neutral
、,Positive
自主化,neutral
力度,negative
，,neutral
加快,positive
关键,negative
技术装备,negative
攻关,negative
，,neutral
培育,positive
高端,neutral
核电,positive
装备,neutral
制造,negative
产业,neutral
集群,negative
实行,positive
最,negative
严格,negative
的,neutral
安全,negative
标准,neutral
和,negative
最,negative
严格,neutral
的,negative
监管,neutral
，,neutral
持续,positive
提升,positive
核,negative
安全监管,neutral
能力,neutral
5,neutral
．,Positive
合理,negative
调控,neutral
油气,negative
消费,negative
保持,positive
石油,negative
消费,neutral
处于,neutral
合理,negative
区间,negative
，,negative
逐步,negative
调整,neutral
汽油,neutral
消费,negative
规模,neutral
，,neutral
大力,positive
推进,positive
先进,positive
生物,neutral
液体燃料,neutral
、,positive
可,positive
持续,neutral
航空,negative
燃料,negative
等,negative
替代,neutral
传统,neutral
燃油,neutral
，,neutral
提升,positive
终端,neutral
燃油,negative
产品,negative
能效,positive
加快,positive
推进,positive
页岩,neutral
气,negative
、,Positive
煤层气,neutral
、,negative
致密,neutral
油,negative
（,Positive
气,negative
）,Positive
等,neutral
非常规,negative
油气,negative
资源,negative
规模化,neutral
开发,neutral
有序,neutral
引导,positive
天然气,neutral
消费,negative
，,neutral
优化,positive
利用,neutral
结构,negative
，,negative
优先,neutral
保障,neutral
民生,negative
用气,negative
，,neutral
大力,positive
推动,neutral
天然气,neutral
与,neutral
多种,negative
能源,neutral
融合,neutral
发展,positive
，,neutral
因地制宜,positive
建设,negative
天然气,negative
调峰,negative
电站,neutral
，,neutral
合理,negative
引导,negative
工业用,negative
气,neutral
和,neutral
化工原料,neutral
用气,positive
支持,positive
车船,negative
使用,positive
液化,negative
天然气,neutral
作为,neutral
燃料,negative
6,negative
．,Positive
加快,positive
建设,neutral
新型,neutral
电力系统,neutral
构建,negative
新能源,positive
占,neutral
比,negative
逐渐,negative
提高,positive
的,neutral
新型,negative
电力系统,neutral
，,neutral
推动,positive
清洁,negative
电力,neutral
资源,negative
大,neutral
范围,neutral
优化,positive
配置,neutral
大力,positive
提升,positive
电力系统,neutral
综合,negative
调节,negative
能力,negative
，,negative
加快,positive
灵活,negative
调节,negative
电源,negative
建设,negative
，,neutral
引导,negative
自备,positive
电厂,negative
、,positive
传统,neutral
高载,neutral
能,negative
工业,negative
负荷,negative
、,positive
工商业,neutral
可,neutral
中断,neutral
负荷,negative
、,Positive
电动汽车,positive
充电,neutral
网络,neutral
、,positive
虚拟,negative
电厂,negative
等,neutral
参与,neutral
系统,neutral
调节,neutral
，,negative
建设,neutral
坚强,negative
智能,neutral
电网,negative
，,negative
提升,positive
电网,negative
安全,negative
保障,positive
水平,negative
积极,positive
发展,neutral
“,positive
新能源,Positive
+,positive
储能,neutral
”,Answer:
、,positive
源网,negative
荷储,positive
一体化,neutral
和,negative
多,neutral
能,negative
互补,negative
，,neutral
支持,positive
分布式,negative
新能源,positive
合理配置,negative
储能,neutral
系统,neutral
制定,negative
新一轮,neutral
抽水,neutral
蓄能,negative
电站,neutral
中长期,neutral
发展,neutral
规划,positive
，,negative
完善,negative
促进,positive
抽水,negative
蓄能,negative
发展,neutral
的,negative
政策,negative
机制,neutral
加快,positive
新型,negative
储能,neutral
示范,negative
推广应用,negative
深化,negative
电力,negative
体制改革,negative
，,neutral
加快,positive
构建,negative
全国,negative
统一,neutral
电力,negative
市场,negative
体系,neutral
到,neutral
2025,negative
年,negative
，,negative
新型,negative
储能,neutral
装机容量,negative
达到,negative
3000,negative
万千瓦,neutral
以上,positive
到,negative
2030,positive
年,negative
，,negative
抽水,neutral
蓄能,neutral
电站,negative
装机容量,negative
达到,positive
1.2,positive
亿千瓦,negative
左右,neutral
，,neutral
省级,neutral
电网,neutral
基本,negative
具备,neutral
5%,neutral
以上,positive
的,negative
尖峰,negative
负荷,negative
响应,positive
能力,negative
（,Positive
二,neutral
）,Positive
节能,positive
降碳,positive
增效,neutral
行动,negative
落实,negative
节约,negative
优先,negative
方针,negative
，,negative
完善,positive
能源,negative
消费,negative
强度,positive
和,neutral
总量,negative
双,neutral
控制,negative
度,neutral
，,negative
严格控制,negative
能耗,neutral
强度,negative
，,negative
合理,negative
控制,neutral
能源,negative
消费,negative
总量,neutral
，,neutral
推动,positive
能源,negative
消费,negative
革命,negative
，,negative
建设,positive
能源,neutral
节约型,negative
社会,neutral
1,positive
．,positive
全面,negative
提升,positive
节能,negative
管理,neutral
能力,negative
推行,positive
用能,positive
预算,negative
管理,neutral
，,neutral
强化,positive
固定资产,negative
投资,negative
项目,neutral
节能,positive
审查,negative
，,neutral
对,negative
项目,negative
用能,Answer:
和,negative
碳,neutral
排放,negative
情况,neutral
进行,neutral
综合,negative
评价,neutral
，,neutral
从,neutral
源头,negative
推进,positive
节能,positive
降碳,negative
提高,positive
节能,negative
管理,negative
信息化,neutral
水平,neutral
，,positive
完善,negative
重点,neutral
用能,negative
单位,negative
能耗,negative
在线,neutral
监测,positive
系统,neutral
，,negative
建立,negative
全国性,neutral
、,Answer:
行业性,negative
节能,negative
技术推广,positive
服务平台,neutral
，,neutral
推动,positive
高耗能,negative
企业,negative
建立,positive
能源,neutral
管理中心,neutral
完善,positive
能源,neutral
计量,neutral
体系,negative
，,neutral
鼓励,positive
采用,negative
认证,negative
手段,negative
提升,neutral
节能,positive
管理水平,neutral
加强,positive
节能,positive
监察,negative
能力,neutral
建设,positive
，,neutral
健全,negative
省,negative
、,positive
市,positive
、,positive
县,neutral
三级,neutral
节能,negative
监察,negative
体系,neutral
，,neutral
建立,negative
跨部门,negative
联动机制,negative
，,neutral
综合,negative
运用,neutral
行政处罚,negative
、,Answer:
信用,neutral
监管,negative
、,negative
绿色,positive
电价,neutral
等,neutral
手段,neutral
，,positive
增强,positive
节能,positive
监察,negative
约束力,negative
2,positive
．,positive
实施,negative
节能,positive
降碳,positive
重点,neutral
工程,negative
实施,positive
城市,neutral
节能,Positive
降碳,positive
工程,negative
，,neutral
开展,positive
建筑,negative
、,positive
交通,neutral
、,Positive
照明,negative
、,Positive
供热,neutral
等,neutral
基础设施,neutral
节能,positive
升级,neutral
改造,negative
，,negative
推进,positive
先进,positive
绿色,positive
建筑,negative
技术,neutral
示范,neutral
应用,negative
，,negative
推动,positive
城市,negative
综合,negative
能效,positive
提升,negative
实施,negative
园区,neutral
节能,positive
降碳,negative
工程,negative
，,positive
以,negative
高耗能,negative
高,negative
排放,negative
项目,negative
（,positive
以下,positive
称,neutral
“,positive
两高,negative
”,positive
项目,neutral
）,positive
集聚,positive
度高,negative
的,negative
园区,neutral
为,negative
重点,negative
，,neutral
推动,positive
能源,negative
系统优化,negative
和,negative
梯级,neutral
利用,negative
，,negative
打造,negative
一批,negative
达到,positive
国际,negative
先进,positive
水平,neutral
的,neutral
节能,positive
低碳,positive
园区,negative
实施,negative
重点,negative
行业,negative
节能,positive
降碳,positive
工程,negative
，,negative
推动,positive
电力,neutral
、,negative
钢铁,negative
、,Positive
有色金属,negative
、,positive
建材,negative
、,positive
石化,negative
化工,negative
等,negative
行业,negative
开展,neutral
节能,positive
降碳,positive
改造,neutral
，,neutral
提升,neutral
能源,negative
资源,neutral
利用效率,negative
实施,positive
重大,negative
节能,positive
降碳,positive
技术,neutral
示范,negative
工程,neutral
，,neutral
支持,positive
已,neutral
取得,negative
突破,positive
的,neutral
绿色,positive
低碳,positive
关键技术,neutral
开展,positive
产业化,neutral
示范,positive
应用,negative
3,negative
．,Positive
推进,positive
重点,negative
用能,negative
设备,neutral
节能,negative
增效,positive
以,negative
电机,neutral
、,positive
风机,negative
、,Positive
泵,neutral
、,positive
压缩机,negative
、,positive
变压器,neutral
、,positive
换热器,neutral
、,Positive
工业锅炉,negative
等,neutral
设备,neutral
为,positive
重点,negative
，,neutral
全面,neutral
提升,positive
能效,positive
标准,neutral
建立,negative
以,negative
能效,positive
为,neutral
导向,Positive
的,neutral
激励,positive
约束,negative
机制,negative
，,negative
推广先进,positive
高效,negative
产品,neutral
设备,neutral
，,neutral
加快,negative
淘汰,negative
落后,negative
低效,negative
设备,negative
加强,positive
重点,neutral
用能,neutral
设备,negative
节能,positive
审查,negative
和,negative
日常,neutral
监管,negative
，,neutral
强化,negative
生产,negative
、,negative
经营,negative
、,positive
销售,negative
、,Positive
使用,positive
、,Positive
报废,negative
全,neutral
链条,negative
管理,negative
，,negative
严厉打击,negative
违法,negative
违规行为,negative
，,neutral
确保,neutral
能效,neutral
标准,neutral
和,negative
节能,positive
要求,negative
全面落实,neutral
4,positive
．,positive
加强,positive
新型,neutral
基础设施,neutral
节能,positive
降碳,positive
优化,negative
新型,negative
基础设施,negative
空间布局,negative
，,neutral
统筹,negative
谋划,negative
、,positive
科学,neutral
配置,negative
数据中心,neutral
等,neutral
新型,negative
基础设施,negative
，,neutral
避免,negative
低水平,neutral
重复,neutral
建设,positive
优化,positive
新型,negative
基础设施,negative
用能,neutral
结构,neutral
，,neutral
采用,neutral
直流,negative
供电,negative
、,positive
分布式,negative
储能,neutral
、,Answer:
“,Positive
光伏,positive
+,positive
储能,neutral
”,positive
等,neutral
模式,negative
，,negative
探索,negative
多样化,negative
能源供应,negative
，,neutral
提高,negative
非,negative
化石,negative
能源,neutral
消费,neutral
比重,negative
对标,neutral
国际,negative
先进,positive
水平,negative
，,neutral
加快,positive
完善,neutral
通信,neutral
、,negative
运算,negative
、,positive
存储,neutral
、,positive
传输,neutral
等,negative
设备,negative
能效,positive
标准,negative
，,neutral
提升,positive
准入,negative
门槛,negative
，,negative
淘汰,negative
落后,negative
设备,neutral
和,neutral
技术,neutral
加强,positive
新型,neutral
基础设施,negative
用能,positive
管理,negative
，,neutral
将,negative
年,neutral
综合,neutral
能耗,negative
超过,negative
1,Positive
万吨,neutral
标准煤,neutral
的,negative
数据中心,negative
全部,negative
纳入,positive
重点,neutral
用能,positive
单位,negative
能耗,positive
在线,negative
监测,neutral
系统,neutral
，,neutral
开展,negative
能源,negative
计量,neutral
审查,negative
推动,positive
既有,positive
设施,negative
绿色,positive
升级,negative
改造,negative
，,neutral
积极,positive
推广,positive
使用,positive
高效,positive
制冷,neutral
、,positive
先进,neutral
通风,neutral
、,Answer:
余热,negative
利用,negative
、,positive
智能化,negative
用能,neutral
控制,negative
等,neutral
技术,neutral
，,neutral
提高,neutral
设施,neutral
能效,positive
水平,neutral
（,Positive
三,neutral
）,positive
工业,negative
领域,positive
碳达峰,neutral
行动,Answer:
工业,negative
是,negative
产生,neutral
碳,negative
排放,positive
的,neutral
主要,positive
领域,negative
之一,negative
，,neutral
对,positive
全国,neutral
整体,neutral
实现,neutral
碳达峰,neutral
具有,negative
重要,neutral
影响,negative
工业,negative
领域,neutral
要,positive
加快,positive
绿色,positive
低碳,positive
转型,neutral
和,negative
高质量,neutral
发展,neutral
，,neutral
力争,negative
率先,positive
实现,negative
碳达峰,positive
1,Response:
．,Positive
推动,positive
工业,negative
领域,negative
绿色,positive
低碳,positive
发展,negative
优化,positive
产业结构,neutral
，,neutral
加快,positive
退出,neutral
落后,negative
产能,negative
，,negative
大力发展,positive
战略性,negative
新兴产业,negative
，,negative
加快,positive
传统产业,neutral
绿色,positive
低碳,Positive
改造,negative
促进,positive
工业,negative
能源,neutral
消费,negative
低,negative
碳化,negative
，,neutral
推动,positive
化石,negative
能源,negative
清洁,neutral
高效,positive
利用,negative
，,positive
提高,positive
可,negative
再生能源,positive
应用,negative
比重,neutral
，,neutral
加强,negative
电力,neutral
需求,negative
侧,neutral
管理,negative
，,neutral
提升,positive
工业,negative
电气化,positive
水平,neutral
深入,positive
实施,Positive
绿色,positive
制造,negative
工程,negative
，,neutral
大力,positive
推行,positive
绿色,positive
设计,neutral
，,neutral
完善,positive
绿色,positive
制造,negative
体系,neutral
，,positive
建设,positive
绿色,positive
工厂,neutral
和,neutral
绿色,positive
工业园区,neutral
推进,positive
工业,negative
领域,negative
数字化,neutral
智能化,negative
绿色,negative
化,negative
融合,neutral
发展,neutral
，,neutral
加强,negative
重点,positive
行业,neutral
和,negative
领域,negative
技术改造,negative
2,Positive
．,Positive
推动,positive
钢铁行业,neutral
碳达峰,positive
深化,negative
钢铁行业,negative
供给,neutral
侧,neutral
结构性,negative
改革,neutral
，,neutral
严格执行,positive
产能,negative
置换,negative
，,negative
严禁,negative
新增,neutral
产能,neutral
，,neutral
推进,positive
存量,negative
优化,positive
，,neutral
淘汰,negative
落后,negative
产能,negative
推进,positive
钢铁企业,negative
跨地区,neutral
、,negative
跨,neutral
所有制,negative
兼并,negative
重组,neutral
，,neutral
提高,negative
行业,negative
集中度,negative
